text,time,user_name,Retweet_Count
"b'In Singapore: Two Cheers &amp; A Toast at Gardens by the Bay (December 6, 2019) https://t.co/e7LVRZT0iI'",2019-11-24 00:27:02,b'audocs',0
"b'Last event of the year, Singapore never grows old, F1 as the start/finish for the #scsm2019 is the perfect location\xe2\x80\xa6 https://t.co/U4xRI2Om9G'",2019-11-23 21:55:08,b'rochfrey',0
b'#Singapore Diaries: Day 3 \xe2\x80\x93 Sentosa Island and Gardens by the Bay https://t.co/LD1tgiHpXE https://t.co/w1k4T9eePt',2019-11-23 17:40:39,b'FDTraveller',0
b'Singapore Day 1 \xf0\x9f\x87\xb8\xf0\x9f\x87\xac\n\xf0\x9f\x93\x8dLibrary @ Orchard\n\xf0\x9f\x93\x8dChijmes\n\xf0\x9f\x93\x8dMarina Bay \n\xf0\x9f\x93\x8dGardens By The Bay\n\xf0\x9f\x93\x8dMerlion Park',2019-11-23 14:51:11,b'mitrachaerin',0
b'Gardens by The Bay Light Show\n\n#gopromax #gopromax360 #gopromaxvideos #tinyplanet360 #tinyplanetvideos #360camera\xe2\x80\xa6 https://t.co/qDw2KzDN3N',2019-11-23 13:40:48,b'ROBERTWORX',0
"b'Awesome (and free) show at the Gardens by the bay, Singapore\n.\n#travelinindo #Indonesia #explorebali #balilife\xe2\x80\xa6 https://t.co/o0sJHqBDxI'",2019-11-23 04:41:09,b'Travelinindo',0
"b""Take the Jump, Even When It's Terrifying\n\n#shellwanders #singapore @ Gardens by the Bay https://t.co/NkRB9vPELH""",2019-11-22 23:49:09,b'shellwanders',0
"b'In Singapore: Two Cheers &amp; A Toast at Gardens by the Bay (December 20, 2019) https://t.co/2UTLAgXckG'",2019-11-22 20:33:03,b'audocs',0
"b'Any recs for a friend headed to Singapore/SE Asia in December who is looking for a nice, sit-down meal near Gardens\xe2\x80\xa6 https://t.co/qr4h5Eu66O'",2019-11-22 19:23:53,b'shirlstyle',0
"b'In Singapore: Two Cheers &amp; A Toast at Gardens by the Bay (December 6, 2019) https://t.co/e7LVRZT0iI'",2019-11-22 12:58:02,b'audocs',0
b'Travelling is my passion. I recently travelled to Singapore with @IndiGo6E and it was amazing because of the friend\xe2\x80\xa6 https://t.co/aTUJJyt1uO',2019-11-22 11:26:52,b'snehalataj',2
b'Craig-652 On Singapore- Gardens By The Bay In 4 Beautiful Photos Plus More Awesome Food!\nhttps://t.co/BH6plwtH7x',2019-11-22 11:03:05,b'CraigHoffman11',0
b'Travelling is my passion. I recently travelled to Singapore with @IndiGo6E and it was amazing because of the friend\xe2\x80\xa6 https://t.co/Kagb2yve2C',2019-11-22 09:45:42,b'snehalataj',0
"b'@allstarsignings You lucky bugger! Have drinks/dinner at top of Marina Bay Sands, laser light show 8pm on the Bay e\xe2\x80\xa6 https://t.co/TcGSqy0iPN'",2019-11-22 09:07:45,b'ArsenalWise',0
b'Gardens by the Bay Singapore 4\n\n#gopromax #gopromaxphotos #gopro #gopromax360 #tinyplanetphotographer\xe2\x80\xa6 https://t.co/Ge0rTYFsPl',2019-11-22 06:52:59,b'ROBERTWORX',0
"b'Singapore plans decades ahead. Therefore, the city has Gardens by the Bay. The Gardens are a sort of a vast enginee\xe2\x80\xa6 https://t.co/ycCQKiR3fP'",2019-11-22 02:23:16,b'arulmuhd_id',0
"b'Gardens  by the bay , singapore https://t.co/4ZKRS4cSVt'",2019-11-21 23:54:24,b'stephanecousine',0
b'Supertree #singapore #travel #travelphotography #gardensbythebay #supertreegrove #nofilter #latergram @ Supertree G\xe2\x80\xa6 https://t.co/64qTz0ZQUe',2019-11-21 19:16:19,b'AsceticMonk',0
